Column1,ID,CID,QID,RID,EID,AID,Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Cat ID,Category,Question Context
2050,2050,5,13,3,4,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,12 to 19,All Ages,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2051,2051,5,13,1000,4,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,12 to 19,All Ages,3,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2119,2119,5,13,1,5,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,20 or over,All Ages,89,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2120,2120,5,13,2,5,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,20 or over,All Ages,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2121,2121,5,13,3,5,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,20 or over,All Ages,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2122,2122,5,13,1000,5,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,20 or over,All Ages,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2190,2190,5,13,1,3,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2191,2191,5,13,2,3,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2192,2192,5,13,3,3,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
2193,2193,5,13,1000,3,1,Australia,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,Under 12,All Ages,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
1555,1555,5,14,1,1,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,All Ages,73,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1556,1556,5,14,2,1,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,All Ages,13,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1557,1557,5,14,3,1,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,All Ages,10,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1558,1558,5,14,1000,1,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,All Ages,4,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1768,1768,5,14,1,1,2,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1769,1769,5,14,2,1,2,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1770,1770,5,14,3,1,2,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1771,1771,5,14,1000,1,2,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,Under 18,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1839,1839,5,14,1,1,3,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,18 to 35,77,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1840,1840,5,14,2,1,3,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,18 to 35,9,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1841,1841,5,14,3,1,3,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,18 to 35,9,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1842,1842,5,14,1000,1,3,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,18 to 35,4,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1910,1910,5,14,1,1,4,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,36 to 59,71,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1911,1911,5,14,2,1,4,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,36 to 59,14,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1912,1912,5,14,3,1,4,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,36 to 59,10,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1913,1913,5,14,1000,1,4,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,36 to 59,4,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1981,1981,5,14,1,1,5,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,All Education,60 plus,73,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1982,1982,5,14,2,1,5,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,All Education,60 plus,15,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1983,1983,5,14,3,1,5,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,All Education,60 plus,7,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
1984,1984,5,14,1000,1,5,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,All Education,60 plus,5,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2052,2052,5,14,1,4,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,12 to 19,All Ages,68,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2053,2053,5,14,2,4,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,12 to 19,All Ages,16,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2054,2054,5,14,3,4,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,12 to 19,All Ages,12,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2055,2055,5,14,1000,4,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,12 to 19,All Ages,4,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2123,2123,5,14,1,5,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,20 or over,All Ages,78,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2124,2124,5,14,2,5,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,20 or over,All Ages,10,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2125,2125,5,14,3,5,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,20 or over,All Ages,6,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2126,2126,5,14,1000,5,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,20 or over,All Ages,5,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2194,2194,5,14,1,3,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,More help,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2195,2195,5,14,2,3,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,About the same as now,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2196,2196,5,14,3,3,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Less help,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
2197,2197,5,14,1000,3,1,Australia,Should rich countries give more or less help to poorer countries to address climate change?,Rich countries helping poor,Don't know,Under 12,All Ages,NA,4,Peoples' call for collaboration,Poorer countries need more money to adapt to the impacts of climate change because they do not have the same levels of infrastructure or resources as richer countries. We asked if richer countries should do more. 
3042,3042,13,13,1,1,1,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,All Ages,85,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3043,3043,13,13,2,1,1,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,All Ages,5,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3044,3044,13,13,3,1,1,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,All Ages,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3045,3045,13,13,1000,1,1,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,All Ages,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3255,3255,13,13,1,1,2,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3256,3256,13,13,2,1,2,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3257,3257,13,13,3,1,2,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3258,3258,13,13,1000,1,2,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,Under 18,NA,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3326,3326,13,13,1,1,3,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,18 to 35,87,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3327,3327,13,13,2,1,3,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,18 to 35,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3328,3328,13,13,3,1,3,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,18 to 35,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3329,3329,13,13,1000,1,3,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,18 to 35,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3397,3397,13,13,1,1,4,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,36 to 59,81,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3398,3398,13,13,2,1,4,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,36 to 59,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3399,3399,13,13,3,1,4,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,36 to 59,10,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3400,3400,13,13,1000,1,4,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,36 to 59,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3468,3468,13,13,1,1,5,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,60 plus,86,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3469,3469,13,13,2,1,5,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,60 plus,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3470,3470,13,13,3,1,5,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,60 plus,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3471,3471,13,13,1000,1,5,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,60 plus,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3539,3539,13,13,1,4,1,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,12 to 19,All Ages,85,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3540,3540,13,13,2,4,1,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,12 to 19,All Ages,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
3541,3541,13,13,3,4,1,Canada,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,12 to 19,All Ages,10,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
